filename,width,height,class,xmin,ymin,xmax,ymax
5_jpeg.rf.a5dd12b3b50246c1135296b96212c81b.jpg,640,640,pizza,0,0,640,640
5_jpeg.rf.a5dd12b3b50246c1135296b96212c81b.jpg,640,640,pizza,182,15,444,295
5_jpeg.rf.a5dd12b3b50246c1135296b96212c81b.jpg,640,640,pizza,316,112,640,375
5_jpeg.rf.a5dd12b3b50246c1135296b96212c81b.jpg,640,640,pizza,320,316,639,549
5_jpeg.rf.a5dd12b3b50246c1135296b96212c81b.jpg,640,640,pizza,2,53,291,317
5_jpeg.rf.a5dd12b3b50246c1135296b96212c81b.jpg,640,640,pizza,0,221,314,440
5_jpeg.rf.a5dd12b3b50246c1135296b96212c81b.jpg,640,640,pizza,0,357,278,624
5_jpeg.rf.a5dd12b3b50246c1135296b96212c81b.jpg,640,640,pizza,114,346,370,640
5_jpeg.rf.a5dd12b3b50246c1135296b96212c81b.jpg,640,640,pizza,324,378,595,640
53_jpeg.rf.a3e27bdb2c241cf3dd4260371a520bb9.jpg,640,640,pizza,0,3,640,615
53_jpeg.rf.a3e27bdb2c241cf3dd4260371a520bb9.jpg,640,640,Mushroom,107,418,189,503
53_jpeg.rf.a3e27bdb2c241cf3dd4260371a520bb9.jpg,640,640,Mushroom,391,192,487,292
53_jpeg.rf.a3e27bdb2c241cf3dd4260371a520bb9.jpg,640,640,Mushroom,259,173,316,229
53_jpeg.rf.a3e27bdb2c241cf3dd4260371a520bb9.jpg,640,640,Mushroom,469,438,560,508
53_jpeg.rf.a3e27bdb2c241cf3dd4260371a520bb9.jpg,640,640,Mushroom,550,256,640,329
53_jpeg.rf.a3e27bdb2c241cf3dd4260371a520bb9.jpg,640,640,Mushroom,264,321,324,384
53_jpeg.rf.a3e27bdb2c241cf3dd4260371a520bb9.jpg,640,640,Mushroom,90,334,161,401
53_jpeg.rf.a3e27bdb2c241cf3dd4260371a520bb9.jpg,640,640,Mushroom,8,357,101,436
53_jpeg.rf.a3e27bdb2c241cf3dd4260371a520bb9.jpg,640,640,Mushroom,318,491,377,547
53_jpeg.rf.a3e27bdb2c241cf3dd4260371a520bb9.jpg,640,640,Mushroom,180,532,245,580
53_jpeg.rf.a3e27bdb2c241cf3dd4260371a520bb9.jpg,640,640,Mushroom,70,474,164,546
53_jpeg.rf.a3e27bdb2c241cf3dd4260371a520bb9.jpg,640,640,Pepperoni,448,373,573,476
53_jpeg.rf.a3e27bdb2c241cf3dd4260371a520bb9.jpg,640,640,Pepperoni,454,145,600,286
53_jpeg.rf.a3e27bdb2c241cf3dd4260371a520bb9.jpg,640,640,Pepperoni,321,62,461,216
53_jpeg.rf.a3e27bdb2c241cf3dd4260371a520bb9.jpg,640,640,Pepperoni,120,115,276,258
53_jpeg.rf.a3e27bdb2c241cf3dd4260371a520bb9.jpg,640,640,Pepperoni,16,246,162,379
53_jpeg.rf.a3e27bdb2c241cf3dd4260371a520bb9.jpg,640,640,Pepperoni,264,457,413,566
63_jpeg.rf.a96e3bfe44be3a4255ca124a7f53cef4.jpg,640,640,pizza,63,0,640,639
63_jpeg.rf.a96e3bfe44be3a4255ca124a7f53cef4.jpg,640,640,Pepperoni,385,370,476,487
63_jpeg.rf.a96e3bfe44be3a4255ca124a7f53cef4.jpg,640,640,Pepperoni,273,413,361,505
